A,B,C,D,E
"2011/05/27","9521.94","9514.16","9588.70","9493.44"
"2011/05/30","9504.97","9489.78","9540.02","9448.00"
"2011/05/31","9693.73","9500.60","9697.35","9497.40"
"2011/06/01","9719.61","9708.05","9720.73","9659.31"
"2011/06/02","9555.04","9560.63","9575.01","9517.28"
"2011/06/03","9492.21","9550.59","9603.03","9490.68"
"2011/06/06","9380.35","9467.37","9490.55","9359.78"
"2011/06/07","9442.95","9371.21","9454.66","9358.31"
"2011/06/08","9449.46","9428.62","9458.43","9394.74"
"2011/06/09","9467.15","9411.71","9472.41","9383.12"
"2011/06/10","9514.44","9536.84","9613.75","9493.05"
"2011/06/13","9448.21","9405.16","9466.51","9391.26"
"2011/06/14","9547.79","9446.84","9565.65","9438.41"
"2011/06/15","9574.32","9589.54","9599.90","9520.93"
"2011/06/16","9411.28","9478.63","9497.59","9411.28"
"2011/06/17","9351.40","9443.32","9447.44","9318.62"
"2011/06/20","9354.32","9383.24","9421.38","9346.76"
"2011/06/21","9459.66","9420.43","9459.66","9378.36"
"2011/06/22","9629.43","9525.25","9658.62","9525.25"
"2011/06/23","9596.74","9557.72","9652.41","9553.30"
"2011/06/24","9678.71","9626.43","9695.09","9609.24"
"2011/06/27","9578.31","9633.92","9638.49","9570.58"
"2011/06/28","9648.98","9668.01","9703.41","9632.54"
"2011/06/29","9797.26","9767.91","9797.26","9734.66"
"2011/06/30","9816.09","9838.09","9849.69","9785.89"
"2011/07/01","9868.07","9878.69","9900.57","9849.64"
"2011/07/04","9965.09","9980.16","10005.75","9940.47"
"2011/07/05","9972.46","9959.39","9995.17","9948.38"
"2011/07/06","10082.48","9987.25","10082.48","9967.87"
"2011/07/07","10071.14","10047.15","10102.19","10029.33"
"2011/07/08","10137.73","10205.71","10207.91","10126.47"
"2011/07/11","10069.53","10069.01","10109.30","10057.77"
"2011/07/12","9925.92","9943.32","9971.14","9907.81"
"2011/07/13","9963.14","9891.11","9979.67","9887.33"
"2011/07/14","9936.12","9929.18","9998.49","9884.00"
"2011/07/15","9974.47","9919.59","9985.32","9919.10"
"2011/07/19","9889.72","9921.50","9945.72","9889.72"
"2011/07/20","10005.90","10008.00","10042.75","9986.33"
